commodity,category,item,units,size,region,country,year,value,survey_base_year,period,unit
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Ohio,United States,2020,18.32,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Oregon,United States,2016,19.02,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Oregon,United States,2017,21.34,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Oregon,United States,2018,20.1,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Oregon,United States,2019,22.86,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Oregon,United States,2020,22.81,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Pennsylvania,United States,2016,17.58,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Pennsylvania,United States,2017,19.13,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Pennsylvania,United States,2018,17.3,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Pennsylvania,United States,2019,19.77,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Pennsylvania,United States,2020,18.61,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Tennessee,United States,2016,17.66,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Tennessee,United States,2017,19.98,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Tennessee,United States,2018,18.04,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Tennessee,United States,2019,20.1,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Tennessee,United States,2020,19.3,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Utah,United States,2016,16.6,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Utah,United States,2017,18.35,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Utah,United States,2018,16.74,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Utah,United States,2019,19.2,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Utah,United States,2020,18.89,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Vermont,United States,2016,20.05,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Vermont,United States,2017,21.6,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Vermont,United States,2018,19.8,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Vermont,United States,2019,22.28,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Vermont,United States,2020,21.19,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Virginia,United States,2016,17.81,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Virginia,United States,2017,19.22,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Virginia,United States,2018,17.35,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Virginia,United States,2019,19.34,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Virginia,United States,2020,19.46,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Washington,United States,2016,17.13,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Washington,United States,2017,18.95,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Washington,United States,2018,17.48,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Washington,United States,2019,19.59,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Washington,United States,2020,18.16,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Wisconsin,United States,2016,18.01,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Wisconsin,United States,2017,19.47,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Wisconsin,United States,2018,17.73,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Wisconsin,United States,2019,20.25,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Wisconsin,United States,2020,20.27,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,U.S. total,United States,2016,1.47,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,U.S. total,United States,2017,1.37,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,U.S. total,United States,2018,1.26,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,U.S. total,United States,2019,1.23,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,U.S. total,United States,2020,1.27,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,California,United States,2016,1.6,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,California,United States,2017,1.49,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,California,United States,2018,1.37,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,California,United States,2019,1.34,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,California,United States,2020,1.38,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Illinois,United States,2016,3.0,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Illinois,United States,2017,2.79,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Illinois,United States,2018,2.57,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Illinois,United States,2019,2.5,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Illinois,United States,2020,2.59,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Indiana,United States,2016,1.72,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Indiana,United States,2017,1.6,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Indiana,United States,2018,1.47,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Indiana,United States,2019,1.43,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Indiana,United States,2020,1.49,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Iowa,United States,2016,1.49,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Iowa,United States,2017,1.38,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Iowa,United States,2018,1.27,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Iowa,United States,2019,1.24,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Iowa,United States,2020,1.28,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Kentucky,United States,2016,1.44,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Kentucky,United States,2017,1.34,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Kentucky,United States,2018,1.23,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Kentucky,United States,2019,1.2,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Kentucky,United States,2020,1.25,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Maine,United States,2016,1.01,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Maine,United States,2017,0.94,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Maine,United States,2018,0.86,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Maine,United States,2019,0.84,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Maine,United States,2020,0.87,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Michigan,United States,2016,2.79,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Michigan,United States,2017,2.6,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Michigan,United States,2018,2.39,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Michigan,United States,2019,2.33,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Michigan,United States,2020,2.41,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Minnesota,United States,2016,1.39,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Minnesota,United States,2017,1.3,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Minnesota,United States,2018,1.19,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Minnesota,United States,2019,1.16,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Minnesota,United States,2020,1.21,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Missouri,United States,2016,1.57,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Missouri,United States,2017,1.46,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Missouri,United States,2018,1.34,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Missouri,United States,2019,1.31,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Missouri,United States,2020,1.35,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,New York,United States,2016,1.03,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,New York,United States,2017,0.96,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,New York,United States,2018,0.88,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,New York,United States,2019,0.86,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,New York,United States,2020,0.89,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Ohio,United States,2016,1.36,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Ohio,United States,2017,1.27,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Ohio,United States,2018,1.16,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Ohio,United States,2019,1.14,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Ohio,United States,2020,1.18,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Oregon,United States,2016,1.23,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Oregon,United States,2017,1.14,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Oregon,United States,2018,1.05,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Oregon,United States,2019,1.03,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Oregon,United States,2020,1.06,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Pennsylvania,United States,2016,1.29,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Pennsylvania,United States,2017,1.2,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Pennsylvania,United States,2018,1.1,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Pennsylvania,United States,2019,1.08,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Pennsylvania,United States,2020,1.11,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Tennessee,United States,2016,1.38,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Tennessee,United States,2017,1.28,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Tennessee,United States,2018,1.18,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Tennessee,United States,2019,1.15,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Tennessee,United States,2020,1.19,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Utah,United States,2016,1.08,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Utah,United States,2017,1.0,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Utah,United States,2018,0.92,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Utah,United States,2019,0.9,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Utah,United States,2020,0.93,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Vermont,United States,2016,1.2,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Vermont,United States,2017,1.11,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Vermont,United States,2018,1.02,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Vermont,United States,2019,1.0,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Vermont,United States,2020,1.03,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Virginia,United States,2016,1.58,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Virginia,United States,2017,1.47,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Virginia,United States,2018,1.35,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Virginia,United States,2019,1.32,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Virginia,United States,2020,1.37,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Washington,United States,2016,1.75,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Cattle,dollars per hundredweight sold,No specific size,Washington,United States,2017,1.63,Base survey of 2016,annual,dollars per hundredweight sold
