year,period,timeperiod_id,timeperiod_name,aggregation,data_item,value,units,category,unit
1999,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9122.0,"1,000 head",,"1,000 head"
1999,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,4436.0,Pounds,,Pounds
1999,JAN-MAR,13,Quarter 1,Not applicable,Milk production,40461.0,Million pounds,,Million pounds
1999,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1250.0,Dollars per head,,Dollars per head
1999,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,4.2,Dollars per hundredweight,,Dollars per hundredweight
1999,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9151.0,"1,000 head",,"1,000 head"
1999,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,4589.0,Pounds,,Pounds
1999,APR-JUN,14,Quarter 2,Not applicable,Milk production,41997.0,Million pounds,,Million pounds
1999,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1240.0,Dollars per head,,Dollars per head
1999,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,3.87,Dollars per hundredweight,,Dollars per hundredweight
1999,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9168.0,"1,000 head",,"1,000 head"
1999,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,4334.0,Pounds,,Pounds
1999,JUL-SEP,15,Quarter 3,Not applicable,Milk production,39732.0,Million pounds,,Million pounds
1999,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1280.0,Dollars per head,,Dollars per head
1999,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,3.75,Dollars per hundredweight,,Dollars per hundredweight
1999,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9169.0,"1,000 head",,"1,000 head"
1999,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4406.0,Pounds,,Pounds
1999,OCT-DEC,16,Quarter 4,Not applicable,Milk production,40399.0,Million pounds,,Million pounds
1999,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,1380.0,Dollars per head,,Dollars per head
1999,ANNUAL,17,Annual aggregation,Quarterly average,16-percent protein feed value,4.01,Dollars per hundredweight,,Dollars per hundredweight
1999,ANNUAL,17,Annual aggregation,Quarterly average,Milk cow,9152.0,"1,000 head",,"1,000 head"
1999,ANNUAL,17,Annual aggregation,Quarterly sum,Milk per cow,17763.0,Pounds,,Pounds
1999,ANNUAL,17,Annual aggregation,Quarterly sum,Milk production,162589.0,Million pounds,,Million pounds
1999,ANNUAL,17,Annual aggregation,Quarterly average,Replacement cow price,1280.0,Dollars per head,,Dollars per head
2000,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,4.01,Dollars per hundredweight,,Dollars per hundredweight
2000,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9182.0,"1,000 head",,"1,000 head"
2000,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,4637.0,Pounds,,Pounds
2000,JAN-MAR,13,Quarter 1,Not applicable,Milk production,42576.0,Million pounds,,Million pounds
2000,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1330.0,Dollars per head,,Dollars per head
2000,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,4.25,Dollars per hundredweight,,Dollars per hundredweight
2000,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9205.0,"1,000 head",,"1,000 head"
2000,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,4687.0,Pounds,,Pounds
2000,APR-JUN,14,Quarter 2,Not applicable,Milk production,43143.0,Million pounds,,Million pounds
2000,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1340.0,Dollars per head,,Dollars per head
2000,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,3.79,Dollars per hundredweight,,Dollars per hundredweight
2000,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9214.0,"1,000 head",,"1,000 head"
2000,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,4456.0,Pounds,,Pounds
2000,JUL-SEP,15,Quarter 3,Not applicable,Milk production,41062.0,Million pounds,,Million pounds
2000,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1350.0,Dollars per head,,Dollars per head
2000,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,4.13,Dollars per hundredweight,,Dollars per hundredweight
2000,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9196.0,"1,000 head",,"1,000 head"
2000,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4416.0,Pounds,,Pounds
2000,OCT-DEC,16,Quarter 4,Not applicable,Milk production,40612.0,Million pounds,,Million pounds
2000,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,1350.0,Dollars per head,,Dollars per head
2000,ANNUAL,17,Annual aggregation,Quarterly average,16-percent protein feed value,4.04,Dollars per hundredweight,,Dollars per hundredweight
2000,ANNUAL,17,Annual aggregation,Quarterly average,Milk cow,9199.0,"1,000 head",,"1,000 head"
2000,ANNUAL,17,Annual aggregation,Quarterly sum,Milk per cow,18197.0,Pounds,,Pounds
2000,ANNUAL,17,Annual aggregation,Quarterly sum,Milk production,167393.0,Million pounds,,Million pounds
2000,ANNUAL,17,Annual aggregation,Quarterly average,Replacement cow price,1340.0,Dollars per head,,Dollars per head
2001,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,4.3,Dollars per hundredweight,,Dollars per hundredweight
2001,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9133.0,"1,000 head",,"1,000 head"
2001,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,4517.0,Pounds,,Pounds
2001,JAN-MAR,13,Quarter 1,Not applicable,Milk production,41250.0,Million pounds,,Million pounds
2001,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1320.0,Dollars per head,,Dollars per head
2001,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,4.41,Dollars per hundredweight,,Dollars per hundredweight
2001,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9100.0,"1,000 head",,"1,000 head"
2001,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,4691.0,Pounds,,Pounds
2001,APR-JUN,14,Quarter 2,Not applicable,Milk production,42685.0,Million pounds,,Million pounds
2001,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1400.0,Dollars per head,,Dollars per head
2001,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,4.52,Dollars per hundredweight,,Dollars per hundredweight
2001,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9082.0,"1,000 head",,"1,000 head"
2001,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,4460.0,Pounds,,Pounds
2001,JUL-SEP,15,Quarter 3,Not applicable,Milk production,40508.0,Million pounds,,Million pounds
2001,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1590.0,Dollars per head,,Dollars per head
2001,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,4.43,Dollars per hundredweight,,Dollars per hundredweight
2001,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9095.0,"1,000 head",,"1,000 head"
2001,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4496.0,Pounds,,Pounds
2001,OCT-DEC,16,Quarter 4,Not applicable,Milk production,40889.0,Million pounds,,Million pounds
2001,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,1700.0,Dollars per head,,Dollars per head
2001,ANNUAL,17,Annual aggregation,Quarterly average,16-percent protein feed value,4.41,Dollars per hundredweight,,Dollars per hundredweight
2001,ANNUAL,17,Annual aggregation,Quarterly average,Milk cow,9102.0,"1,000 head",,"1,000 head"
2001,ANNUAL,17,Annual aggregation,Quarterly sum,Milk per cow,18162.0,Pounds,,Pounds
2001,ANNUAL,17,Annual aggregation,Quarterly sum,Milk production,165332.0,Million pounds,,Million pounds
2001,ANNUAL,17,Annual aggregation,Quarterly average,Replacement cow price,1500.0,Dollars per head,,Dollars per head
2002,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,4.4,Dollars per hundredweight,,Dollars per hundredweight
2002,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9113.0,"1,000 head",,"1,000 head"
2002,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,4662.0,Pounds,,Pounds
2002,JAN-MAR,13,Quarter 1,Not applicable,Milk production,42485.0,Million pounds,,Million pounds
2002,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1610.0,Dollars per head,,Dollars per head
2002,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,4.52,Dollars per hundredweight,,Dollars per hundredweight
2002,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9148.0,"1,000 head",,"1,000 head"
2002,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,4820.0,Pounds,,Pounds
2002,APR-JUN,14,Quarter 2,Not applicable,Milk production,44089.0,Million pounds,,Million pounds
2002,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1710.0,Dollars per head,,Dollars per head
2002,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,4.9,Dollars per hundredweight,,Dollars per hundredweight
2002,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9154.0,"1,000 head",,"1,000 head"
2002,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,4571.0,Pounds,,Pounds
2002,JUL-SEP,15,Quarter 3,Not applicable,Milk production,41846.0,Million pounds,,Million pounds
2002,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1670.0,Dollars per head,,Dollars per head
2002,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,4.88,Dollars per hundredweight,,Dollars per hundredweight
2002,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9142.0,"1,000 head",,"1,000 head"
2002,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4555.0,Pounds,,Pounds
2002,OCT-DEC,16,Quarter 4,Not applicable,Milk production,41643.0,Million pounds,,Million pounds
2002,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,1430.0,Dollars per head,,Dollars per head
2002,ANNUAL,17,Annual aggregation,Quarterly average,16-percent protein feed value,4.67,Dollars per hundredweight,,Dollars per hundredweight
2002,ANNUAL,17,Annual aggregation,Quarterly average,Milk cow,9139.0,"1,000 head",,"1,000 head"
2002,ANNUAL,17,Annual aggregation,Quarterly sum,Milk per cow,18608.0,Pounds,,Pounds
2002,ANNUAL,17,Annual aggregation,Quarterly sum,Milk production,170063.0,Million pounds,,Million pounds
2002,ANNUAL,17,Annual aggregation,Quarterly average,Replacement cow price,1600.0,Dollars per head,,Dollars per head
2003,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,4.86,Dollars per hundredweight,,Dollars per hundredweight
2003,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9141.0,"1,000 head",,"1,000 head"
2003,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,4714.0,Pounds,,Pounds
2003,JAN-MAR,13,Quarter 1,Not applicable,Milk production,43091.0,Million pounds,,Million pounds
2003,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1380.0,Dollars per head,,Dollars per head
2003,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,4.98,Dollars per hundredweight,,Dollars per hundredweight
2003,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9107.0,"1,000 head",,"1,000 head"
2003,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,4830.0,Pounds,,Pounds
2003,APR-JUN,14,Quarter 2,Not applicable,Milk production,43989.0,Million pounds,,Million pounds
2003,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1300.0,Dollars per head,,Dollars per head
2003,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,4.64,Dollars per hundredweight,,Dollars per hundredweight
2003,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9068.0,"1,000 head",,"1,000 head"
2003,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,4603.0,Pounds,,Pounds
2003,JUL-SEP,15,Quarter 3,Not applicable,Milk production,41740.0,Million pounds,,Million pounds
2003,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1310.0,Dollars per head,,Dollars per head
2003,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,4.73,Dollars per hundredweight,,Dollars per hundredweight
2003,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9009.0,"1,000 head",,"1,000 head"
2003,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4610.0,Pounds,,Pounds
2003,OCT-DEC,16,Quarter 4,Not applicable,Milk production,41528.0,Million pounds,,Million pounds
2003,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,1380.0,Dollars per head,,Dollars per head
2003,ANNUAL,17,Annual aggregation,Quarterly average,16-percent protein feed value,4.8,Dollars per hundredweight,,Dollars per hundredweight
2003,ANNUAL,17,Annual aggregation,Quarterly average,Milk cow,9081.0,"1,000 head",,"1,000 head"
2003,ANNUAL,17,Annual aggregation,Quarterly sum,Milk per cow,18759.0,Pounds,,Pounds
2003,ANNUAL,17,Annual aggregation,Quarterly sum,Milk production,170348.0,Million pounds,,Million pounds
2003,ANNUAL,17,Annual aggregation,Quarterly average,Replacement cow price,1340.0,Dollars per head,,Dollars per head
2004,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,5.21,Dollars per hundredweight,,Dollars per hundredweight
2004,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,8993.0,"1,000 head",,"1,000 head"
2004,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,4755.0,Pounds,,Pounds
2004,JAN-MAR,13,Quarter 1,Not applicable,Milk production,42762.0,Million pounds,,Million pounds
2004,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1390.0,Dollars per head,,Dollars per head
2004,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,5.92,Dollars per hundredweight,,Dollars per hundredweight
2004,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9002.0,"1,000 head",,"1,000 head"
2004,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,4870.0,Pounds,,Pounds
2004,APR-JUN,14,Quarter 2,Not applicable,Milk production,43839.0,Million pounds,,Million pounds
2004,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1580.0,Dollars per head,,Dollars per head
2004,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,5.1,Dollars per hundredweight,,Dollars per hundredweight
2004,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9027.0,"1,000 head",,"1,000 head"
2004,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,4676.0,Pounds,,Pounds
2004,JUL-SEP,15,Quarter 3,Not applicable,Milk production,42212.0,Million pounds,,Million pounds
2004,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1720.0,Dollars per head,,Dollars per head
2004,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,4.58,Dollars per hundredweight,,Dollars per hundredweight
2004,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9019.0,"1,000 head",,"1,000 head"
2004,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4659.0,Pounds,,Pounds
2004,OCT-DEC,16,Quarter 4,Not applicable,Milk production,42019.0,Million pounds,,Million pounds
2004,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,1640.0,Dollars per head,,Dollars per head
2004,ANNUAL,17,Annual aggregation,Quarterly average,16-percent protein feed value,5.2,Dollars per hundredweight,,Dollars per hundredweight
2004,ANNUAL,17,Annual aggregation,Quarterly average,Milk cow,9010.0,"1,000 head",,"1,000 head"
2004,ANNUAL,17,Annual aggregation,Quarterly sum,Milk per cow,18960.0,Pounds,,Pounds
2004,ANNUAL,17,Annual aggregation,Quarterly sum,Milk production,170832.0,Million pounds,,Million pounds
2004,ANNUAL,17,Annual aggregation,Quarterly average,Replacement cow price,1580.0,Dollars per head,,Dollars per head
2005,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,4.56,Dollars per hundredweight,,Dollars per hundredweight
2005,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9001.0,"1,000 head",,"1,000 head"
2005,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,4813.0,Pounds,,Pounds
2005,JAN-MAR,13,Quarter 1,Not applicable,Milk production,43326.0,Million pounds,,Million pounds
2005,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1620.0,Dollars per head,,Dollars per head
2005,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,4.88,Dollars per hundredweight,,Dollars per hundredweight
2005,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9042.0,"1,000 head",,"1,000 head"
2005,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,5068.0,Pounds,,Pounds
2005,APR-JUN,14,Quarter 2,Not applicable,Milk production,45825.0,Million pounds,,Million pounds
2005,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1770.0,Dollars per head,,Dollars per head
2005,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,4.81,Dollars per hundredweight,,Dollars per hundredweight
2005,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9073.0,"1,000 head",,"1,000 head"
2005,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,4863.0,Pounds,,Pounds
2005,JUL-SEP,15,Quarter 3,Not applicable,Milk production,44121.0,Million pounds,,Million pounds
2005,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1830.0,Dollars per head,,Dollars per head
2005,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,4.47,Dollars per hundredweight,,Dollars per hundredweight
2005,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9085.0,"1,000 head",,"1,000 head"
2005,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4806.0,Pounds,,Pounds
2005,OCT-DEC,16,Quarter 4,Not applicable,Milk production,43659.0,Million pounds,,Million pounds
2005,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,1870.0,Dollars per head,,Dollars per head
2005,ANNUAL,17,Annual aggregation,Quarterly average,16-percent protein feed value,4.68,Dollars per hundredweight,,Dollars per hundredweight
2005,ANNUAL,17,Annual aggregation,Quarterly average,Milk cow,9050.0,"1,000 head",,"1,000 head"
2005,ANNUAL,17,Annual aggregation,Quarterly sum,Milk per cow,19550.0,Pounds,,Pounds
2005,ANNUAL,17,Annual aggregation,Quarterly sum,Milk production,176931.0,Million pounds,,Million pounds
2005,ANNUAL,17,Annual aggregation,Quarterly average,Replacement cow price,1770.0,Dollars per head,,Dollars per head
2006,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,4.61,Dollars per hundredweight,,Dollars per hundredweight
2006,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9121.0,"1,000 head",,"1,000 head"
2006,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,4995.0,Pounds,,Pounds
2006,JAN-MAR,13,Quarter 1,Not applicable,Milk production,45563.0,Million pounds,,Million pounds
2006,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1840.0,Dollars per head,,Dollars per head
2006,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,4.98,Dollars per hundredweight,,Dollars per hundredweight
2006,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9156.0,"1,000 head",,"1,000 head"
2006,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,5125.0,Pounds,,Pounds
2006,APR-JUN,14,Quarter 2,Not applicable,Milk production,46925.0,Million pounds,,Million pounds
2006,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1770.0,Dollars per head,,Dollars per head
2006,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,4.93,Dollars per hundredweight,,Dollars per hundredweight
2006,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9137.0,"1,000 head",,"1,000 head"
2006,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,4889.0,Pounds,,Pounds
2006,JUL-SEP,15,Quarter 3,Not applicable,Milk production,44675.0,Million pounds,,Million pounds
2006,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1680.0,Dollars per head,,Dollars per head
2006,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,5.63,Dollars per hundredweight,,Dollars per hundredweight
2006,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9133.0,"1,000 head",,"1,000 head"
2006,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4885.0,Pounds,,Pounds
2006,OCT-DEC,16,Quarter 4,Not applicable,Milk production,44619.0,Million pounds,,Million pounds
2006,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,1650.0,Dollars per head,,Dollars per head
2006,ANNUAL,17,Annual aggregation,Quarterly average,16-percent protein feed value,5.04,Dollars per hundredweight,,Dollars per hundredweight
2006,ANNUAL,17,Annual aggregation,Quarterly average,Milk cow,9137.0,"1,000 head",,"1,000 head"
2006,ANNUAL,17,Annual aggregation,Quarterly sum,Milk per cow,19895.0,Pounds,,Pounds
2006,ANNUAL,17,Annual aggregation,Quarterly sum,Milk production,181782.0,Million pounds,,Million pounds
2006,ANNUAL,17,Annual aggregation,Quarterly average,Replacement cow price,1730.0,Dollars per head,,Dollars per head
2007,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,6.29,Dollars per hundredweight,,Dollars per hundredweight
2007,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9152.0,"1,000 head",,"1,000 head"
2007,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,5033.0,Pounds,,Pounds
2007,JAN-MAR,13,Quarter 1,Not applicable,Milk production,46063.0,Million pounds,,Million pounds
2007,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1660.0,Dollars per head,,Dollars per head
2007,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,6.89,Dollars per hundredweight,,Dollars per hundredweight
2007,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9170.0,"1,000 head",,"1,000 head"
2007,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,5173.0,Pounds,,Pounds
2007,APR-JUN,14,Quarter 2,Not applicable,Milk production,47438.0,Million pounds,,Million pounds
2007,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1730.0,Dollars per head,,Dollars per head
2007,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,6.81,Dollars per hundredweight,,Dollars per hundredweight
2007,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9198.0,"1,000 head",,"1,000 head"
2007,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,5013.0,Pounds,,Pounds
2007,JUL-SEP,15,Quarter 3,Not applicable,Milk production,46111.0,Million pounds,,Million pounds
2007,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1950.0,Dollars per head,,Dollars per head
2007,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,7.2,Dollars per hundredweight,,Dollars per hundredweight
2007,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9236.0,"1,000 head",,"1,000 head"
2007,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4985.0,Pounds,,Pounds
2007,OCT-DEC,16,Quarter 4,Not applicable,Milk production,46042.0,Million pounds,,Million pounds
2007,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,2020.0,Dollars per head,,Dollars per head
2007,ANNUAL,17,Annual aggregation,Quarterly average,16-percent protein feed value,6.8,Dollars per hundredweight,,Dollars per hundredweight
2007,ANNUAL,17,Annual aggregation,Quarterly average,Milk cow,9189.0,"1,000 head",,"1,000 head"
2007,ANNUAL,17,Annual aggregation,Quarterly sum,Milk per cow,20204.0,Pounds,,Pounds
2007,ANNUAL,17,Annual aggregation,Quarterly sum,Milk production,185654.0,Million pounds,,Million pounds
2007,ANNUAL,17,Annual aggregation,Quarterly average,Replacement cow price,1830.0,Dollars per head,,Dollars per head
2008,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,8.34,Dollars per hundredweight,,Dollars per hundredweight
2008,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9285.0,"1,000 head",,"1,000 head"
2008,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,5129.0,Pounds,,Pounds
2008,JAN-MAR,13,Quarter 1,Not applicable,Milk production,47622.0,Million pounds,,Million pounds
2008,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1960.0,Dollars per head,,Dollars per head
2008,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,9.87,Dollars per hundredweight,,Dollars per hundredweight
2008,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9311.0,"1,000 head",,"1,000 head"
2008,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,5237.0,Pounds,,Pounds
2008,APR-JUN,14,Quarter 2,Not applicable,Milk production,48761.0,Million pounds,,Million pounds
