data_item,value,period,category,unit
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",     Repairs,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",     Other operating costs 3/,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",     Interest on operating capital,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/","         Total, operating cost",annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",Allocated overhead:,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",   Hired labor,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",   Opportunity cost of unpaid labor,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",   Capital recovery of machinery and equipment 4/,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",   Opportunity cost of land (rental rate),annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",   Taxes and insurance,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",   General farm overhead,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/","         Total, allocated overhead",annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",Total costs listed,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",Value of production less total costs listed,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",Value of production less operating costs,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",Supporting information:   ,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",    Milk cows (head per farm) ,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",    Output per cow (pounds),annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",    Milking frequency more than twice per day (percent of farms) ,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",    Milk cows injected with bST (head per farm),annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",    Organic milk sold (percent of sales),annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",1/ Developed from the 2005 Agricultural Resource Management Survey of dairy operations.  The sample of dairies included farms in the States shown plus Arizona.,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",2/ Income from renting or leasing dairy stock to other operations; renting space to other dairy operations; co-op patronage dividends,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/","associated with the dairy; assessment rebates, refunds, and other dairy-related resources; and the fertilizer value of manure production.",annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",3/ Costs for third party organic certification,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/","4/ Machinery and equipment, housing, manure handling, feed storage structures, and the dairy breeding herd.",annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/","Notes: Coefficients of variation (CVs) were checked for the category totals: gross value of production, and feed, operating, allocated overhead, and total costs.  ",annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",  All CVs were less than 25 percent except for those on feed and allocated overhead costs in Georgia.,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",  All CVs were less than 50 percent.  ,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,California,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,13.99,annual,cop_state,
unnamed:_1,1.15,annual,cop_state,
unnamed:_1,0.5,annual,cop_state,
unnamed:_1,15.64,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,6.61,annual,cop_state,
unnamed:_1,1.51,annual,cop_state,
unnamed:_1,0.05,annual,cop_state,
unnamed:_1,8.170000000000002,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,0.54,annual,cop_state,
unnamed:_1,0.04,annual,cop_state,
unnamed:_1,0.28,annual,cop_state,
unnamed:_1,0.31,annual,cop_state,
unnamed:_1,0.41,annual,cop_state,
unnamed:_1,0.33,annual,cop_state,
unnamed:_1,0,annual,cop_state,
unnamed:_1,0.17,annual,cop_state,
unnamed:_1,10.25,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,1.41,annual,cop_state,
unnamed:_1,0.39,annual,cop_state,
unnamed:_1,1.74,annual,cop_state,
unnamed:_1,0,annual,cop_state,
unnamed:_1,0.14,annual,cop_state,
unnamed:_1,0.23,annual,cop_state,
unnamed:_1,3.91,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,14.16,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,1.4800000000000004,annual,cop_state,
unnamed:_1,5.390000000000001,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,980,annual,cop_state,
unnamed:_1,19973,annual,cop_state,
unnamed:_1,9.75,annual,cop_state,
unnamed:_1,94,annual,cop_state,
unnamed:_1,0.32,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_1,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,Florida,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,18,annual,cop_state,
unnamed:_2,1.08,annual,cop_state,
unnamed:_2,0.56,annual,cop_state,
unnamed:_2,19.639999999999997,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,7.22,annual,cop_state,
unnamed:_2,1.72,annual,cop_state,
unnamed:_2,0.12,annual,cop_state,
unnamed:_2,9.059999999999999,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,0.79,annual,cop_state,
unnamed:_2,0.03,annual,cop_state,
unnamed:_2,0.18,annual,cop_state,
unnamed:_2,0.72,annual,cop_state,
unnamed:_2,0.7,annual,cop_state,
unnamed:_2,0.73,annual,cop_state,
unnamed:_2,0,annual,cop_state,
unnamed:_2,0.21,annual,cop_state,
unnamed:_2,12.419999999999998,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,3.05,annual,cop_state,
unnamed:_2,0.42,annual,cop_state,
unnamed:_2,2.21,annual,cop_state,
unnamed:_2,0.02,annual,cop_state,
unnamed:_2,0.24,annual,cop_state,
unnamed:_2,0.48,annual,cop_state,
unnamed:_2,6.42,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,18.839999999999996,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,0.8000000000000007,annual,cop_state,
unnamed:_2,7.219999999999999,annual,cop_state,
unnamed:_2,      ,annual,cop_state,
unnamed:_2,      ,annual,cop_state,
unnamed:_2,1013,annual,cop_state,
unnamed:_2,17572,annual,cop_state,
unnamed:_2,36.16,annual,cop_state,
unnamed:_2,167,annual,cop_state,
unnamed:_2,0,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_2,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,Georgia,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,16.94,annual,cop_state,
unnamed:_3,0.95,annual,cop_state,
unnamed:_3,0.48,annual,cop_state,
unnamed:_3,18.37,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,5.44,annual,cop_state,
unnamed:_3,1.95,annual,cop_state,
unnamed:_3,0.2,annual,cop_state,
unnamed:_3,7.590000000000001,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,0.62,annual,cop_state,
unnamed:_3,0.03,annual,cop_state,
unnamed:_3,0.7,annual,cop_state,
unnamed:_3,0.79,annual,cop_state,
unnamed:_3,0.59,annual,cop_state,
unnamed:_3,0.56,annual,cop_state,
unnamed:_3,0,annual,cop_state,
unnamed:_3,0.18,annual,cop_state,
unnamed:_3,11.06,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,2.19,annual,cop_state,
unnamed:_3,1.56,annual,cop_state,
unnamed:_3,3.11,annual,cop_state,
unnamed:_3,0.06,annual,cop_state,
unnamed:_3,0.17,annual,cop_state,
unnamed:_3,0.33,annual,cop_state,
unnamed:_3,7.419999999999999,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,18.48,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,-0.10999999999999943,annual,cop_state,
unnamed:_3,7.3100000000000005,annual,cop_state,
unnamed:_3,      ,annual,cop_state,
unnamed:_3,      ,annual,cop_state,
unnamed:_3,273,annual,cop_state,
unnamed:_3,17294,annual,cop_state,
unnamed:_3,8.6,annual,cop_state,
unnamed:_3,58,annual,cop_state,
unnamed:_3,0,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_3,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,Idaho,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,14.82,annual,cop_state,
unnamed:_4,1.29,annual,cop_state,
unnamed:_4,0.46,annual,cop_state,
unnamed:_4,16.57,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,5.68,annual,cop_state,
unnamed:_4,3.17,annual,cop_state,
unnamed:_4,0.09,annual,cop_state,
unnamed:_4,8.94,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,0.65,annual,cop_state,
unnamed:_4,0.22,annual,cop_state,
unnamed:_4,0.25,annual,cop_state,
unnamed:_4,0.53,annual,cop_state,
unnamed:_4,0.55,annual,cop_state,
unnamed:_4,0.64,annual,cop_state,
unnamed:_4,0,annual,cop_state,
unnamed:_4,0.2,annual,cop_state,
unnamed:_4,11.98,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,1.53,annual,cop_state,
unnamed:_4,3.17,annual,cop_state,
unnamed:_4,3.5,annual,cop_state,
unnamed:_4,0.01,annual,cop_state,
unnamed:_4,0.21,annual,cop_state,
unnamed:_4,0.56,annual,cop_state,
unnamed:_4,8.98,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,20.96,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,-4.390000000000001,annual,cop_state,
unnamed:_4,4.59,annual,cop_state,
unnamed:_4,       ,annual,cop_state,
unnamed:_4,       ,annual,cop_state,
unnamed:_4,134,annual,cop_state,
unnamed:_4,17969,annual,cop_state,
unnamed:_4,1.26,annual,cop_state,
unnamed:_4,10,annual,cop_state,
unnamed:_4,1.08,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_4,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,Illinois,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,15.39,annual,cop_state,
unnamed:_5,1.25,annual,cop_state,
unnamed:_5,0.84,annual,cop_state,
unnamed:_5,17.48,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,4.21,annual,cop_state,
unnamed:_5,3.33,annual,cop_state,
unnamed:_5,0.05,annual,cop_state,
unnamed:_5,7.59,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,1.11,annual,cop_state,
unnamed:_5,0.32,annual,cop_state,
unnamed:_5,0.29,annual,cop_state,
unnamed:_5,0.43,annual,cop_state,
unnamed:_5,0.59,annual,cop_state,
unnamed:_5,0.72,annual,cop_state,
unnamed:_5,0,annual,cop_state,
unnamed:_5,0.19,annual,cop_state,
unnamed:_5,11.239999999999998,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,1.31,annual,cop_state,
unnamed:_5,3.59,annual,cop_state,
unnamed:_5,3.97,annual,cop_state,
unnamed:_5,0.03,annual,cop_state,
unnamed:_5,0.2,annual,cop_state,
unnamed:_5,0.49,annual,cop_state,
unnamed:_5,9.59,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,20.83,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,-3.349999999999998,annual,cop_state,
unnamed:_5,6.240000000000002,annual,cop_state,
unnamed:_5,       ,annual,cop_state,
unnamed:_5,       ,annual,cop_state,
unnamed:_5,126,annual,cop_state,
unnamed:_5,18362,annual,cop_state,
unnamed:_5,2.07,annual,cop_state,
unnamed:_5,17,annual,cop_state,
unnamed:_5,0.13,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_5,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,Indiana,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,15.48,annual,cop_state,
unnamed:_6,1.36,annual,cop_state,
unnamed:_6,0.51,annual,cop_state,
unnamed:_6,17.35,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,4.3,annual,cop_state,
unnamed:_6,2.9,annual,cop_state,
unnamed:_6,0.09,annual,cop_state,
unnamed:_6,7.289999999999999,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,0.98,annual,cop_state,
unnamed:_6,0.38,annual,cop_state,
unnamed:_6,0.22,annual,cop_state,
unnamed:_6,0.65,annual,cop_state,
unnamed:_6,0.61,annual,cop_state,
unnamed:_6,0.67,annual,cop_state,
unnamed:_6,0,annual,cop_state,
unnamed:_6,0.18,annual,cop_state,
unnamed:_6,10.98,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,1.22,annual,cop_state,
unnamed:_6,2.92,annual,cop_state,
unnamed:_6,3.2,annual,cop_state,
unnamed:_6,0.05,annual,cop_state,
unnamed:_6,0.2,annual,cop_state,
unnamed:_6,0.5,annual,cop_state,
unnamed:_6,8.09,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,19.07,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,-1.7199999999999989,annual,cop_state,
unnamed:_6,6.370000000000001,annual,cop_state,
unnamed:_6,       ,annual,cop_state,
unnamed:_6,       ,annual,cop_state,
unnamed:_6,130,annual,cop_state,
unnamed:_6,17750,annual,cop_state,
unnamed:_6,4.49,annual,cop_state,
unnamed:_6,45,annual,cop_state,
unnamed:_6,0.05,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_6,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,Iowa,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,15.13,annual,cop_state,
unnamed:_7,1.14,annual,cop_state,
unnamed:_7,0.39,annual,cop_state,
unnamed:_7,16.66,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,3.87,annual,cop_state,
unnamed:_7,3.54,annual,cop_state,
unnamed:_7,0.17,annual,cop_state,
unnamed:_7,7.58,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,0.97,annual,cop_state,
unnamed:_7,0.27,annual,cop_state,
unnamed:_7,0.28,annual,cop_state,
unnamed:_7,0.4,annual,cop_state,
unnamed:_7,0.45,annual,cop_state,
unnamed:_7,0.7,annual,cop_state,
unnamed:_7,0,annual,cop_state,
unnamed:_7,0.18,annual,cop_state,
unnamed:_7,10.829999999999998,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,1.13,annual,cop_state,
unnamed:_7,3.11,annual,cop_state,
unnamed:_7,4.35,annual,cop_state,
unnamed:_7,0.05,annual,cop_state,
unnamed:_7,0.15,annual,cop_state,
unnamed:_7,0.84,annual,cop_state,
unnamed:_7,9.63,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,20.46,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,-3.8000000000000007,annual,cop_state,
unnamed:_7,5.830000000000002,annual,cop_state,
unnamed:_7,       ,annual,cop_state,
unnamed:_7,       ,annual,cop_state,
unnamed:_7,104,annual,cop_state,
unnamed:_7,19403,annual,cop_state,
unnamed:_7,1.3,annual,cop_state,
unnamed:_7,23,annual,cop_state,
unnamed:_7,0.9,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_7,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,Kentucky,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,15.41,annual,cop_state,
unnamed:_8,1.98,annual,cop_state,
unnamed:_8,0.54,annual,cop_state,
unnamed:_8,17.93,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,4.03,annual,cop_state,
unnamed:_8,4.87,annual,cop_state,
unnamed:_8,0.39,annual,cop_state,
unnamed:_8,9.290000000000001,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,0.49,annual,cop_state,
unnamed:_8,0.19,annual,cop_state,
unnamed:_8,0.24,annual,cop_state,
unnamed:_8,0.37,annual,cop_state,
unnamed:_8,0.51,annual,cop_state,
unnamed:_8,0.57,annual,cop_state,
unnamed:_8,0,annual,cop_state,
unnamed:_8,0.2,annual,cop_state,
unnamed:_8,11.86,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,0.96,annual,cop_state,
unnamed:_8,5.79,annual,cop_state,
unnamed:_8,6.34,annual,cop_state,
unnamed:_8,0.09,annual,cop_state,
unnamed:_8,0.18,annual,cop_state,
unnamed:_8,0.64,annual,cop_state,
unnamed:_8,14,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,25.86,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,-7.93,annual,cop_state,
unnamed:_8,6.07,annual,cop_state,
unnamed:_8,       ,annual,cop_state,
unnamed:_8,       ,annual,cop_state,
unnamed:_8,77,annual,cop_state,
unnamed:_8,13534,annual,cop_state,
unnamed:_8,0.72,annual,cop_state,
unnamed:_8,2,annual,cop_state,
unnamed:_8,0,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_8,,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,Maine,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,17.71,annual,cop_state,
unnamed:_9,1,annual,cop_state,
unnamed:_9,0.54,annual,cop_state,
unnamed:_9,19.25,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,5.34,annual,cop_state,
unnamed:_9,4.84,annual,cop_state,
unnamed:_9,0.17,annual,cop_state,
unnamed:_9,10.35,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,0.87,annual,cop_state,
unnamed:_9,0.33,annual,cop_state,
unnamed:_9,0.29,annual,cop_state,
unnamed:_9,0.29,annual,cop_state,
unnamed:_9,0.73,annual,cop_state,
unnamed:_9,0.78,annual,cop_state,
unnamed:_9,0.01,annual,cop_state,
unnamed:_9,0.23,annual,cop_state,
unnamed:_9,13.879999999999997,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,2.98,annual,cop_state,
unnamed:_9,5.8,annual,cop_state,
unnamed:_9,5.18,annual,cop_state,
unnamed:_9,0.05,annual,cop_state,
unnamed:_9,0.44,annual,cop_state,
unnamed:_9,1.09,annual,cop_state,
unnamed:_9,15.54,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,29.419999999999995,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,-10.169999999999995,annual,cop_state,
unnamed:_9,5.370000000000003,annual,cop_state,
unnamed:_9,       ,annual,cop_state,
unnamed:_9,       ,annual,cop_state,
unnamed:_9,89,annual,cop_state,
unnamed:_9,18152,annual,cop_state,
unnamed:_9,2.15,annual,cop_state,
unnamed:_9,6,annual,cop_state,
unnamed:_9,7.49,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,,annual,cop_state,
unnamed:_9,,annual,cop_state,
